Iteration,Samples Used,F1 Macro,Accuracy
Seed,20,0.5408620689655173,0.5463917525773195
Seed+1-1,30,0.6547628406708594,0.6597938144329897
Seed+1-2,40,0.6772184207668077,0.6804123711340206
Seed+1-3,50,0.6947318715611398,0.7010309278350515
Seed+1-4,60,0.6967542261659908,0.7010309278350515
Seed+1-5,70,0.6114121837945914,0.6391752577319587
Seed+1-6,80,0.6913770053475935,0.7010309278350515
Seed+1-7,90,0.6882169469510527,0.7010309278350515
Seed+1-8,100,0.6799555344889852,0.6907216494845361
Seed+1-9,110,0.6927267706058094,0.7010309278350515
Seed+1-10,120,0.7132481718876953,0.7216494845360825
